x y label
62 0.01 d
63 0.01 d
64 0.01 d
65 0.01 d
66 0.01 d
67 0.01 d
68 0.01 d
69 0.01 d
70 0.01 d
71 0.01 d
72 0.01 d
73 0.01 d
74 0.01 d
75 0.01 d
76 0.01 d
77 0.01 d
78 0.01 d
79 0.01 d
80 0.01 d
81 0.01 d
82 0.01 d
83 0.01 d
84 0.01 d
85 0.01 d
86 0.01 d
87 0.01 d
88 0.01 d
89 0.01 d
90 0.01 d
91 0.01 d
92 0.01 d
93 0.01 d
94 0.01 d
95 0.01 d
96 0.01 d
97 0.01 d
98 0.01 d
99 0.01 d
