x y label
4 0.001 c
5 0.001 c
6 0.001 c
7 0.001 c
8 0.001 c
9 0.001 c
10 0.001 c
11 0.001 c
12 0.001 c
13 0.001 c
14 0.001 c
15 0.001 c
16 0.001 c
17 0.001 c
18 0.001 c
19 0.001 c
20 0.001 c
21 0.001 c
22 0.001 c
23 0.001 c
24 0.001 c
25 0.001 c
26 0.001 c
27 0.001 c
28 0.001 c
29 0.001 c
30 0.001 c
31 0.001 c
32 0.001 c
33 0.001 c
34 0.001 c
35 0.001 c
36 0.001 c
37 0.001 c
38 0.001 c
39 0.001 c
40 0.001 c
41 0.001 c
42 0.001 c
43 0.001 c
44 0.001 c
45 0.001 c
46 0.001 c
47 0.001 c
48 0.001 c
49 0.001 c
50 0.001 c
51 0.001 c
52 0.001 c
53 0.001 c
54 0.001 c
55 0.001 c
56 0.001 c
57 0.001 c
58 0.001 c
59 0.001 c
60 0.001 c
61 0.001 c
62 0.001 c
63 0.001 c
64 0.001 c
65 0.001 c
66 0.001 c
67 0.001 c
68 0.001 c
69 0.001 c
70 0.001 c
71 0.001 c
72 0.001 c
73 0.001 c
74 0.001 c
75 0.001 c
76 0.001 c
77 0.001 c
78 0.001 c
79 0.001 c
80 0.001 c
81 0.001 c
82 0.001 c
83 0.001 c
84 0.001 c
85 0.001 c
86 0.001 c
87 0.001 c
88 0.001 c
89 0.001 c
90 0.001 c
91 0.001 c
92 0.001 c
93 0.001 c
94 0.001 c
95 0.001 c
96 0.001 c
97 0.001 c
98 0.001 c
99 0.001 c
0 0.001 d
1 0.001 d
2 0.001 d
3 0.001 d
4 0.001 d
5 0.001 d
6 0.001 d
7 0.001 d
8 0.001 d
9 0.001 d
10 0.001 d
11 0.001 d
12 0.001 d
13 0.001 d
14 0.001 d
15 0.001 d
16 0.001 d
17 0.001 d
18 0.001 d
19 0.001 d
20 0.001 d
21 0.001 d
22 0.001 d
23 0.001 d
24 0.001 d
25 0.001 d
26 0.001 d
27 0.001 d
28 0.001 d
29 0.001 d
30 0.001 d
31 0.001 d
32 0.001 d
33 0.001 d
34 0.001 d
35 0.001 d
36 0.001 d
37 0.001 d
38 0.001 d
39 0.001 d
40 0.001 d
41 0.001 d
42 0.001 d
43 0.001 d
44 0.001 d
45 0.001 d
46 0.001 d
47 0.001 d
48 0.001 d
49 0.001 d
50 0.001 d
51 0.001 d
52 0.001 d
53 0.001 d
54 0.001 d
55 0.001 d
56 0.001 d
57 0.001 d
58 0.001 d
59 0.001 d
60 0.001 d
61 0.001 d
62 0.001 d
63 0.001 d
64 0.001 d
65 0.001 d
66 0.001 d
67 0.001 d
68 0.001 d
69 0.001 d
70 0.001 d
71 0.001 d
72 0.001 d
73 0.001 d
74 0.001 d
75 0.001 d
76 0.001 d
77 0.001 d
78 0.001 d
79 0.001 d
80 0.001 d
81 0.001 d
82 0.001 d
83 0.001 d
84 0.001 d
85 0.001 d
86 0.001 d
87 0.001 d
88 0.001 d
89 0.001 d
90 0.001 d
91 0.001 d
92 0.001 d
93 0.001 d
94 0.001 d
95 0.001 d
96 0.001 d
97 0.001 d
98 0.001 d
99 0.001 d
